id,title,artist_title,classification_titles
159749,"The Bishop's Tomb, from Vedute",Canaletto,etching;print;prints and drawing
159761,"The Library, from Vedute",Canaletto,etching;print;prints and drawing
159760,"The Prison, from Vedute",Canaletto,etching;print;prints and drawing
159752,"Landscape with Tower and Two Ruined Pillars, from Vedute",Canaletto,etching;print;prints and drawing
159764,"The Terrace, from Vedute",Canaletto,etching;print;prints and drawing
159763,"la Piera del Band V, from Vedute",Canaletto,etching;print;prints and drawing
159762,"Le Procuratie niove e S. Ziminian V, from Vedute",Canaletto,etching;print;prints and drawing
159767,"The Market on the Molo, from Vedute",Canaletto,etching;print;prints and drawing
159766,"Imaginary View of S. Giacomo di Rialto, from Vedute",Canaletto,etching;print;prints and drawing
159765,"The Market at Dolo, from Vedute",Canaletto,etching;print;prints and drawing
159768,"The House with the Inscription and The House with the Peristyle, from Vedute",Canaletto,etching;print;prints and drawing
106676,Flight into Egypt,Pier Francesco Mola,etching;print;prints and drawing
41072,Portrait of Edouard Dagoty,Carlo Lasinio,mezzotint;print;prints and drawing
23448,"Nereid Ridden by Two Children, plate six of Twelve Ornament Panels",Giovan Pietro Birago,engraving;print;prints and drawing
23440,"Triton Ridden by a Child, plate one of Twelve Ornament Panels",Giovan Pietro Birago,engraving;print;prints and drawing
4314,The Entombment,Andrea Mantegna,engraving;print;prints and drawing
273340,A Naval Battle,Michele Lucchese,prints and drawing;paper;etching;engraving;print
193078,Lauda-Conatum: Exposition au Salon du Louvre en 1787 (The Exhibition at the Salon du Louvre in 1787),Pietro Antonio Martini,etching;paper;print;prints and drawing
106547,Portrait of Barbarossa,Agostino dei Musi,engraving;print;prints and drawing
18679,The Vision of Saint Francis,Federico Barocci,etching;print;prints and drawing
193910,Plate Two from Collection of Various Vases,Stefano della Bella,etching;paper;print;prints and drawing
28679,Triumph of Caesar,Andrea Andreani,chiaroscuro woodcut;woodcut;print;prints and drawing
27998,Plate One from Collection of Various Vases,Stefano della Bella,etching;print;prints and drawing
193912,Plate Four from Collection of Various Vases,Stefano della Bella,etching;paper;print;prints and drawing
193911,Plate Three from Collection of Various Vases,Stefano della Bella,etching;paper;print;prints and drawing
193914,Plate Six from Collection of Various Vases,Stefano della Bella,etching;paper;print;prints and drawing
193913,Plate Five from Collection of Various Vases,Stefano della Bella,etching;paper;print;prints and drawing
28651,"Carousel for Ferdinand II, Duke of Tuscany",Stefano della Bella,etching;print;prints and drawing
193892,Plate Four from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193891,Plate Three from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193890,Plate Two from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
33313,Frontispiece to Drawings of Several Movements by Soldiers,Stefano della Bella,etching;print;prints and drawing
193895,Plate Seven from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193894,Plate Six from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193893,Plate Five from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193898,Plate Ten from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193897,Plate Nine from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193896,Plate Eight from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193900,Plate Twelve from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
193899,Plate Eleven from Drawings of Several Movements by Soldiers,Stefano della Bella,etching;paper;print;prints and drawing
117967,"Plate Three, from Entrance of the Ambassador of Poland into Rome",Stefano della Bella,etching;print;prints and drawing
117970,"Plate Six, from Entrance of the Ambassador of Poland into Rome",Stefano della Bella,etching;print;prints and drawing
117969,Entrance of the Ambassador of Poland into Rome,Stefano della Bella,etching;print;prints and drawing
117968,"Plate Four, from Entrance of the Ambassador of Poland into Rome",Stefano della Bella,etching;print;prints and drawing
137053,The Opening Assembly of the Equestrian Ballet,Stefano della Bella,etching;print;prints and drawing
